Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0	1	0	0	1	0	-69.6836
0.005	1	0	0	1	0	-69.6836
0.01	1	0	0	1	0	-69.6836
0.015	1	0	0	1	0	-69.6836
0.0185	1	0	0	1	0	-69.6836
0.02	1	0	0	1	0	-69.6836
0.025	1	0	0	1	0	-69.6836
0.03	1	0	0	1	0	-69.6836
0.035	1	0	0	1	0	-69.6836
0.04	1	0	0	1	0	-69.6836
0.045	1	0	0	1	0	-69.6836
0.05	1	0	0	1	0	-69.6836
0.055	1	0	0	1	0	-69.6836
0.06	1	0	0	1	0	-69.6836
0.065	1	0	0	1	0	-69.6836
0.07	1	0	0	1	0	-69.6836
0.075	1	0	0	1	0	-69.6836
0.08	1	0	0	1	0	-69.6836
0.085	1	0	0	1	0	-69.6836
0.09	1	0	0	1	0	-69.6836
0.095	1	0	0	1	0	-69.6836
0.1	1	0	0	1	0	-69.6836
0.105	1	0	0	1	0	-69.6836
0.11	1	0	0	1	0	-69.6836
0.115	1	0	0	1	0	-69.6836
0.12	1	0	0	1	0	-69.6836
0.125	1	0	0	1	0	-69.6836
0.13	1	0	0	1	0	-69.6836
0.135	1	0	0	1	0	-69.6836
0.14	1	0	0	1	0	-69.6836
0.145	1	0	0	1	0	-69.6836
0.15	1	0	0	1	0	-69.6836
0.155	1	0	0	1	0	-69.6836
0.16	1	0	0	1	0	-69.6836
0.165	1	0	0	1	0	-69.6836
0.17	1	0	0	1	0	-69.6836
0.175	1	0	0	1	0	-69.6836
0.18	1	0	0	1	0	-69.6836
0.185	1	0	0	1	0	-69.6836
0.19	1	0	0	1	0	-69.6836
0.195	1	0	0	1	0	-69.6836
0.2	1	0	0	1	0	-69.6836
0.205	1	0	0	1	0	-69.6836
0.21	1	0	0	1	0	-69.6836
0.215	1	0	0	1	0	-69.6836
0.22	1	0	0	1	0	-69.6836
0.225	1	0	0	1	0	-69.6836
0.23	1	0	0	1	0	-69.6836
0.235	1	0	0	1	0	-69.6836
0.24	1	0	0	1	0	-69.6836
0.245	1	0	0	1	0	-69.6836
0.25	1	0	0	1	0	-69.6836
0.255	1	0	0	1	0	-69.6836
0.26	1	0	0	1	0	-69.6836
0.265	1	0	0	1	0	-69.6836
0.27	1	0	0	1	0	-69.6836
0.275	1	0	0	1	0	-69.6836
0.28	1	0	0	1	0	-69.6836
0.285	1	0	0	1	0	-69.6836
0.29	1	0	0	1	0	-69.6836
0.295	1	0	0	1	0	-69.6836
0.3	1	0	0	1	0	-69.6836
0.305	1	0	0	1	0	-69.6836
0.31	1	0	0	1	0	-69.6836
0.315	1	0	0	1	0	-69.6836
0.32	1	0	0	1	0	-69.6836
0.325	1	0	0	1	0	-69.6836
0.33	1	0	0	1	0	-69.6836
0.335	1	0	0	1	0	-69.6836
0.34	1	0	0	1	0	-69.6836
0.345	1	0	0	1	0	-69.6836
0.35	1	0	0	1	0	-69.6836
0.355	1	0	0	1	0	-69.6836
0.36	1	0	0	1	0	-69.6836
0.365	1	0	0	1	0	-69.6836
0.37	1	0	0	1	0	-69.6836
0.375	1	0	0	1	0	-69.6836
0.38	1	0	0	1	0	-69.6836
0.385	1	0	0	1	0	-69.6836
0.39	1	0	0	1	0	-69.6836
0.395	1	0	0	1	0	-69.6836
0.4	1	0	0	1	0	-69.6836
0.4015	1	0	0	1	0	-69.6836
0.401536	1	0	0	1	0	-69.6836
0.4025	1	0	0	1	0	-69.6836
0.402536	1	0	0	1	0	-69.6836
0.403	1	0	0	1	0	-69.6836
0.403036	1	0	0	1	0	-69.6836
0.4035	1	0	0	1	0	-69.6836
0.403536	1	0	0	1	0	-69.6836
0.404	1	0	0	1	0	-69.6836
0.404036	1	0	0	1	0	-69.6836
0.405	1	0	0	1	0	-69.6836
0.405036	1	0	0	1	0	-69.6836
0.4055	1	0	0	1	0	-69.6836
0.405536	1	0	0	1	0	-69.6836
0.405536	1	0	1	1	1	-69.6836
0.405536	1	0	2	1	2	-69.6836
0.405536	1	0	3	1	3	-69.6836
