% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	stream	harqId	ndi	rv	mcs	tbSize
0.4005	1	0	1	1	40	1	1	1	9	0	19	1	0	27	27345
0.4015	1	0	1	1	40	2	1	1	13	0	18	1	0	27	39495
0.402	1	0	1	1	40	3	0	1	13	0	17	1	0	27	39495
0.4025	1	0	1	1	40	3	1	1	13	0	16	1	0	27	39495
0.403	1	0	1	1	40	4	0	1	9	0	15	1	0	27	27345
0.404	1	0	1	1	40	5	0	1	13	0	14	1	0	27	39495
0.4045	1	0	1	1	40	5	1	1	13	0	19	1	0	0	1271
0.4045	1	0	1	1	40	5	1	1	13	1	19	1	0	0	1271
0.405	1	0	1	1	40	6	0	1	13	0	13	1	0	0	1271
0.405	1	0	1	1	40	6	0	1	13	1	13	1	0	0	1271
0.4055	1	0	1	1	40	6	1	1	9	0	12	1	0	0	881
0.4055	1	0	1	1	40	6	1	1	9	1	12	1	0	0	881
