time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.401957	2	1	4	1030	0.00195535
0.401957	2	1	4	1030	0.00194935
0.401957	2	1	4	1030	0.00194335
0.401957	2	1	4	1030	0.00193735
0.401957	2	1	4	1030	0.00193135
0.401957	2	1	4	1030	0.00192535
0.401957	2	1	4	1030	0.00191935
0.401957	2	1	4	1030	0.00191335
0.401957	2	1	4	1030	0.00190735
0.401957	2	1	4	1030	0.00190135
0.401957	2	1	4	1030	0.00189535
0.401957	2	1	4	1030	0.00188935
0.401957	2	1	4	1030	0.00188335
0.401957	2	1	4	1030	0.00187735
0.401957	2	1	4	1030	0.00187135
0.401957	2	1	4	1030	0.00186535
0.401957	2	1	4	1030	0.00185935
0.401957	2	1	4	1030	0.00185335
0.401957	2	1	4	1030	0.00184735
0.401957	2	1	4	1030	0.00184135
0.401957	2	1	4	1030	0.00183535
0.401957	2	1	4	1030	0.00182935
0.401957	2	1	4	1030	0.00182335
0.401957	2	1	4	1030	0.00181735
0.401957	2	1	4	1030	0.00181135
0.401957	2	1	4	1030	0.00180535
0.4031	2	1	4	1030	0.0029422
0.4031	2	1	4	1030	0.0029362
0.4031	2	1	4	1030	0.0029302
0.4031	2	1	4	1030	0.0029242
0.4031	2	1	4	1030	0.0029182
0.4031	2	1	4	1030	0.0029122
0.4031	2	1	4	1030	0.0029062
0.4031	2	1	4	1030	0.0029002
0.4031	2	1	4	1030	0.0028942
0.4031	2	1	4	1030	0.0028882
0.4031	2	1	4	1030	0.0028822
0.4031	2	1	4	1030	0.0028762
0.4031	2	1	4	1030	0.0028702
0.4031	2	1	4	1030	0.0028642
0.4031	2	1	4	1030	0.0028582
0.4031	2	1	4	1030	0.0028522
0.4031	2	1	4	1030	0.0028462
0.4031	2	1	4	1030	0.0028402
0.4031	2	1	4	1030	0.0028342
0.4031	2	1	4	1030	0.0028282
0.4031	2	1	4	1030	0.0028222
0.4031	2	1	4	1030	0.0028162
0.4031	2	1	4	1030	0.0028102
0.4031	2	1	4	1030	0.0028042
0.4031	2	1	4	1030	0.0027982
0.4031	2	1	4	1030	0.0027922
0.4031	2	1	4	1030	0.0027862
0.4031	2	1	4	1030	0.0027802
0.4031	2	1	4	1030	0.0027742
0.4031	2	1	4	1030	0.0027682
0.4031	2	1	4	1030	0.0027622
0.4031	2	1	4	1030	0.0027562
0.4031	2	1	4	1030	0.0027502
0.4031	2	1	4	1030	0.0027442
0.4031	2	1	4	1030	0.0027382
0.4031	2	1	4	1030	0.0027322
0.4031	2	1	4	1030	0.0027262
0.4031	2	1	4	1030	0.0027202
0.4036	2	1	4	1030	0.0032142
0.4036	2	1	4	1030	0.0032082
0.4036	2	1	4	1030	0.0032022
0.4036	2	1	4	1030	0.0031962
0.4036	2	1	4	1030	0.0031902
0.4036	2	1	4	1030	0.0031842
0.4036	2	1	4	1030	0.0031782
0.4036	2	1	4	1030	0.0031722
0.4036	2	1	4	1030	0.0031662
0.4036	2	1	4	1030	0.0031602
0.4036	2	1	4	1030	0.0031542
0.4036	2	1	4	1030	0.0031482
0.4036	2	1	4	1030	0.0031422
0.4036	2	1	4	1030	0.0031362
0.4036	2	1	4	1030	0.0031302
0.4036	2	1	4	1030	0.0031242
0.4036	2	1	4	1030	0.0031182
0.4036	2	1	4	1030	0.0031122
0.4036	2	1	4	1030	0.0031062
0.4036	2	1	4	1030	0.0031002
0.4036	2	1	4	1030	0.0030942
0.4036	2	1	4	1030	0.0030882
0.4036	2	1	4	1030	0.0030822
0.4036	2	1	4	1030	0.0030762
0.4036	2	1	4	1030	0.0030702
0.4036	2	1	4	1030	0.0030642
0.4036	2	1	4	1030	0.0030582
0.4036	2	1	4	1030	0.0030522
0.4036	2	1	4	1030	0.0030462
0.4036	2	1	4	1030	0.0030402
0.4036	2	1	4	1030	0.0030342
0.4036	2	1	4	1030	0.0030282
0.4036	2	1	4	1030	0.0030222
0.4036	2	1	4	1030	0.0030162
0.4036	2	1	4	1030	0.0030102
0.4036	2	1	4	1030	0.0030042
0.4036	2	1	4	1030	0.0029982
0.4036	2	1	4	1030	0.0029922
0.4036	2	1	4	1030	0.0029862
0.4041	2	1	4	1030	0.0034802
0.4041	2	1	4	1030	0.0034742
0.4041	2	1	4	1030	0.0034682
0.4041	2	1	4	1030	0.0034622
0.4041	2	1	4	1030	0.0034562
0.4041	2	1	4	1030	0.0034502
0.4041	2	1	4	1030	0.0034442
0.4041	2	1	4	1030	0.0034382
0.4041	2	1	4	1030	0.0034322
0.4041	2	1	4	1030	0.0034262
0.4041	2	1	4	1030	0.0034202
0.4041	2	1	4	1030	0.0034142
0.4041	2	1	4	1030	0.0034082
0.4041	2	1	4	1030	0.0034022
0.4041	2	1	4	1030	0.0033962
0.4041	2	1	4	1030	0.0033902
0.4041	2	1	4	1030	0.0033842
0.4041	2	1	4	1030	0.0033782
0.4041	2	1	4	1030	0.0033722
0.4041	2	1	4	1030	0.0033662
0.4041	2	1	4	1030	0.0033602
0.4041	2	1	4	1030	0.0033542
0.4041	2	1	4	1030	0.0033482
0.4041	2	1	4	1030	0.0033422
0.4041	2	1	4	1030	0.0033362
0.4041	2	1	4	1030	0.0033302
0.4041	2	1	4	1030	0.0033242
0.4041	2	1	4	1030	0.0033182
0.4041	2	1	4	1030	0.0033122
0.4041	2	1	4	1030	0.0033062
0.4041	2	1	4	1030	0.0033002
0.4041	2	1	4	1030	0.0032942
0.4041	2	1	4	1030	0.0032882
0.4041	2	1	4	1030	0.0032822
0.4041	2	1	4	1030	0.0032762
0.4041	2	1	4	1030	0.0032702
0.4041	2	1	4	1030	0.0032642
0.4041	2	1	4	1030	0.0032582
0.404457	2	1	4	1030	0.00360935
0.404457	2	1	4	1030	0.00360335
0.404457	2	1	4	1030	0.00359735
0.404457	2	1	4	1030	0.00359135
0.404457	2	1	4	1030	0.00358535
0.404457	2	1	4	1030	0.00357935
0.404457	2	1	4	1030	0.00357335
0.404457	2	1	4	1030	0.00356735
0.404457	2	1	4	1030	0.00356135
0.404457	2	1	4	1030	0.00355535
0.404457	2	1	4	1030	0.00354935
0.404457	2	1	4	1030	0.00354335
0.404457	2	1	4	1030	0.00353735
0.404457	2	1	4	1030	0.00353135
0.404457	2	1	4	1030	0.00352535
0.404457	2	1	4	1030	0.00351935
0.404457	2	1	4	1030	0.00351335
0.404457	2	1	4	1030	0.00350735
0.404457	2	1	4	1030	0.00350135
0.404457	2	1	4	1030	0.00349535
0.404457	2	1	4	1030	0.00348935
0.404457	2	1	4	1030	0.00348335
0.404457	2	1	4	1030	0.00347735
0.404457	2	1	4	1030	0.00347135
