time(s)	cellId	rnti	lcid	packetSize
0.400002	2	1	4	1030
0.400008	2	1	4	1030
0.400014	2	1	4	1030
0.40002	2	1	4	1030
0.400026	2	1	4	1030
0.400032	2	1	4	1030
0.400038	2	1	4	1030
0.400044	2	1	4	1030
0.40005	2	1	4	1030
0.400056	2	1	4	1030
0.400062	2	1	4	1030
0.400068	2	1	4	1030
0.400074	2	1	4	1030
0.40008	2	1	4	1030
0.400086	2	1	4	1030
0.400092	2	1	4	1030
0.400098	2	1	4	1030
0.400104	2	1	4	1030
0.40011	2	1	4	1030
0.400116	2	1	4	1030
0.400122	2	1	4	1030
0.400128	2	1	4	1030
0.400134	2	1	4	1030
0.40014	2	1	4	1030
0.400146	2	1	4	1030
0.400152	2	1	4	1030
0.400158	2	1	4	1030
0.400164	2	1	4	1030
0.40017	2	1	4	1030
0.400176	2	1	4	1030
0.400182	2	1	4	1030
0.400188	2	1	4	1030
0.400194	2	1	4	1030
0.4002	2	1	4	1030
0.400206	2	1	4	1030
0.400212	2	1	4	1030
0.400218	2	1	4	1030
0.400224	2	1	4	1030
0.40023	2	1	4	1030
0.400236	2	1	4	1030
0.400242	2	1	4	1030
0.400248	2	1	4	1030
0.400254	2	1	4	1030
0.40026	2	1	4	1030
0.400266	2	1	4	1030
0.400272	2	1	4	1030
0.400278	2	1	4	1030
0.400284	2	1	4	1030
0.40029	2	1	4	1030
0.400296	2	1	4	1030
0.400302	2	1	4	1030
0.400308	2	1	4	1030
0.400314	2	1	4	1030
0.40032	2	1	4	1030
0.400326	2	1	4	1030
0.400332	2	1	4	1030
0.400338	2	1	4	1030
0.400344	2	1	4	1030
0.40035	2	1	4	1030
0.400356	2	1	4	1030
0.400362	2	1	4	1030
0.400368	2	1	4	1030
0.400374	2	1	4	1030
0.40038	2	1	4	1030
0.400386	2	1	4	1030
0.400392	2	1	4	1030
0.400398	2	1	4	1030
0.400404	2	1	4	1030
0.40041	2	1	4	1030
0.400416	2	1	4	1030
