time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.410064	2	1	3	1030	0.0100643
0.410064	2	1	3	1030	0.0100583
0.410064	2	1	3	1030	0.0100523
0.410064	2	1	3	1030	0.0100463
0.410064	2	1	3	1030	0.0100403
0.410064	2	1	3	1030	0.0100343
0.410064	2	1	3	1030	0.0100283
0.410064	2	1	3	1030	0.0100223
0.410064	2	1	3	1030	0.0100163
0.410064	2	1	3	1030	0.0100103
0.410064	2	1	3	1030	0.0100043
0.410064	2	1	3	1030	0.00999828
0.410064	2	1	3	1030	0.00999228
0.410064	2	1	3	1030	0.00998628
0.410064	2	1	3	1030	0.00998028
0.410064	2	1	3	1030	0.00997428
0.410064	2	1	3	1030	0.00996828
0.410064	2	1	3	1030	0.00996228
0.410064	2	1	3	1030	0.00995628
0.410064	2	1	3	1030	0.00995028
0.410064	2	1	3	1030	0.00994428
0.410064	2	1	3	1030	0.00993828
0.410064	2	1	3	1030	0.00993228
0.410064	2	1	3	1030	0.00992628
0.410064	2	1	3	1030	0.00992028
0.410064	2	1	3	1030	0.00991428
0.410064	2	1	3	1030	0.00990828
0.410064	2	1	3	1030	0.00990228
0.410064	2	1	3	1030	0.00989628
0.410064	2	1	3	1030	0.00989028
0.410064	2	1	3	1030	0.00988428
0.410064	2	1	3	1030	0.00987828
0.410064	2	1	3	1030	0.00987228
0.410064	2	1	3	1030	0.00986628
0.410064	2	1	3	1030	0.00986028
0.410064	2	1	3	1030	0.00985428
0.410064	2	1	3	1030	0.00984828
0.410064	2	1	3	1030	0.00984228
0.412564	2	1	3	1030	0.0123363
0.412564	2	1	3	1030	0.0123303
0.412564	2	1	3	1030	0.0123243
0.412564	2	1	3	1030	0.0123183
0.412564	2	1	3	1030	0.0123123
0.412564	2	1	3	1030	0.0123063
0.412564	2	1	3	1030	0.0123003
0.412564	2	1	3	1030	0.0122943
0.412564	2	1	3	1030	0.0122883
0.412564	2	1	3	1030	0.0122823
0.412564	2	1	3	1030	0.0122763
0.412564	2	1	3	1030	0.0122703
0.412564	2	1	3	1030	0.0122643
0.412564	2	1	3	1030	0.0122583
0.412564	2	1	3	1030	0.0122523
0.412564	2	1	3	1030	0.0122463
0.412564	2	1	3	1030	0.0122403
0.412564	2	1	3	1030	0.0122343
0.412564	2	1	3	1030	0.0122283
0.412564	2	1	3	1030	0.0122223
0.412564	2	1	3	1030	0.0122163
0.412564	2	1	3	1030	0.0122103
0.412564	2	1	3	1030	0.0122043
0.412564	2	1	3	1030	0.0121983
0.412564	2	1	3	1030	0.0121923
0.412564	2	1	3	1030	0.0121863
0.412564	2	1	3	1030	0.0121803
0.412564	2	1	3	1030	0.0121743
0.412564	2	1	3	1030	0.0121683
0.412564	2	1	3	1030	0.0121623
0.412564	2	1	3	1030	0.0121563
0.412564	2	1	3	1030	0.0121503
0.412564	2	1	3	1030	0.0121443
0.412564	2	1	3	1030	0.0121383
0.412564	2	1	3	1030	0.0121323
0.412564	2	1	3	1030	0.0121263
0.412564	2	1	3	1030	0.0121203
0.412564	2	1	3	1030	0.0121143
0.415064	2	1	3	1030	0.0146083
0.415064	2	1	3	1030	0.0146023
0.415064	2	1	3	1030	0.0145963
0.415064	2	1	3	1030	0.0145903
0.415064	2	1	3	1030	0.0145843
0.415064	2	1	3	1030	0.0145783
0.415064	2	1	3	1030	0.0145723
0.415064	2	1	3	1030	0.0145663
0.415064	2	1	3	1030	0.0145603
0.415064	2	1	3	1030	0.0145543
0.415064	2	1	3	1030	0.0145483
0.415064	2	1	3	1030	0.0145423
0.415064	2	1	3	1030	0.0145363
0.415064	2	1	3	1030	0.0145303
0.415064	2	1	3	1030	0.0145243
0.415064	2	1	3	1030	0.0145183
0.415064	2	1	3	1030	0.0145123
0.415064	2	1	3	1030	0.0145063
0.415064	2	1	3	1030	0.0145003
0.415064	2	1	3	1030	0.0144943
0.415064	2	1	3	1030	0.0144883
0.415064	2	1	3	1030	0.0144823
0.415064	2	1	3	1030	0.0144763
0.415064	2	1	3	1030	0.0144703
0.415064	2	1	3	1030	0.0144643
0.415064	2	1	3	1030	0.0144583
0.415064	2	1	3	1030	0.0144523
0.415064	2	1	3	1030	0.0144463
0.415064	2	1	3	1030	0.0144403
0.415064	2	1	3	1030	0.0144343
0.415064	2	1	3	1030	0.0144283
0.415064	2	1	3	1030	0.0144223
0.415064	2	1	3	1030	0.0144163
0.415064	2	1	3	1030	0.0144103
0.415064	2	1	3	1030	0.0144043
0.415064	2	1	3	1030	0.0143983
0.415064	2	1	3	1030	0.0143923
0.415064	2	1	3	1030	0.0143863
0.417564	2	1	3	1030	0.0168803
0.417564	2	1	3	1030	0.0168743
0.417564	2	1	3	1030	0.0168683
0.417564	2	1	3	1030	0.0168623
0.417564	2	1	3	1030	0.0168563
0.417564	2	1	3	1030	0.0168503
0.417564	2	1	3	1030	0.0168443
0.417564	2	1	3	1030	0.0168383
0.417564	2	1	3	1030	0.0168323
0.417564	2	1	3	1030	0.0168263
0.417564	2	1	3	1030	0.0168203
0.417564	2	1	3	1030	0.0168143
0.417564	2	1	3	1030	0.0168083
0.417564	2	1	3	1030	0.0168023
0.417564	2	1	3	1030	0.0167963
0.417564	2	1	3	1030	0.0167903
0.417564	2	1	3	1030	0.0167843
0.417564	2	1	3	1030	0.0167783
0.417564	2	1	3	1030	0.0167723
0.417564	2	1	3	1030	0.0167663
0.417564	2	1	3	1030	0.0167603
0.417564	2	1	3	1030	0.0167543
0.417564	2	1	3	1030	0.0167483
0.417564	2	1	3	1030	0.0167423
0.417564	2	1	3	1030	0.0167363
0.417564	2	1	3	1030	0.0167303
0.417564	2	1	3	1030	0.0167243
0.417564	2	1	3	1030	0.0167183
0.417564	2	1	3	1030	0.0167123
0.417564	2	1	3	1030	0.0167063
0.417564	2	1	3	1030	0.0167003
0.417564	2	1	3	1030	0.0166943
0.417564	2	1	3	1030	0.0166883
0.417564	2	1	3	1030	0.0166823
0.417564	2	1	3	1030	0.0166763
0.417564	2	1	3	1030	0.0166703
0.417564	2	1	3	1030	0.0166643
0.417564	2	1	3	1030	0.0166583
0.417564	2	1	3	1030	0.0166523
0.420064	2	1	3	1030	0.0191463
0.420064	2	1	3	1030	0.0191403
0.420064	2	1	3	1030	0.0191343
0.420064	2	1	3	1030	0.0191283
0.420064	2	1	3	1030	0.0191223
0.420064	2	1	3	1030	0.0191163
0.420064	2	1	3	1030	0.0191103
0.420064	2	1	3	1030	0.0191043
0.420064	2	1	3	1030	0.0190983
0.420064	2	1	3	1030	0.0190923
0.420064	2	1	3	1030	0.0190863
0.420064	2	1	3	1030	0.0190803
0.420064	2	1	3	1030	0.0190743
0.420064	2	1	3	1030	0.0190683
0.420064	2	1	3	1030	0.0190623
0.420064	2	1	3	1030	0.0190563
0.420064	2	1	3	1030	0.0190503
0.420064	2	1	3	1030	0.0190443
0.420064	2	1	3	1030	0.0190383
0.420064	2	1	3	1030	0.0190323
0.420064	2	1	3	1030	0.0190263
0.420064	2	1	3	1030	0.0190203
0.420064	2	1	3	1030	0.0190143
0.420064	2	1	3	1030	0.0190083
0.420064	2	1	3	1030	0.0190023
0.420064	2	1	3	1030	0.0189963
0.420064	2	1	3	1030	0.0189903
0.420064	2	1	3	1030	0.0189843
0.420064	2	1	3	1030	0.0189783
0.420064	2	1	3	1030	0.0189723
0.420064	2	1	3	1030	0.0189663
0.420064	2	1	3	1030	0.0189603
0.420064	2	1	3	1030	0.0189543
0.420064	2	1	3	1030	0.0189483
0.420064	2	1	3	1030	0.0189423
0.420064	2	1	3	1030	0.0189363
0.420064	2	1	3	1030	0.0189303
0.420064	2	1	3	1030	0.0189243
0.422564	2	1	3	1030	0.0214183
0.422564	2	1	3	1030	0.0214123
0.422564	2	1	3	1030	0.0214063
0.422564	2	1	3	1030	0.0214003
0.422564	2	1	3	1030	0.0213943
0.422564	2	1	3	1030	0.0213883
0.422564	2	1	3	1030	0.0213823
0.422564	2	1	3	1030	0.0213763
0.422564	2	1	3	1030	0.0213703
0.422564	2	1	3	1030	0.0213643
0.422564	2	1	3	1030	0.0213583
0.422564	2	1	3	1030	0.0213523
0.422564	2	1	3	1030	0.0213463
0.422564	2	1	3	1030	0.0213403
0.422564	2	1	3	1030	0.0213343
0.422564	2	1	3	1030	0.0213283
0.422564	2	1	3	1030	0.0213223
0.422564	2	1	3	1030	0.0213163
0.422564	2	1	3	1030	0.0213103
0.422564	2	1	3	1030	0.0213043
0.422564	2	1	3	1030	0.0212983
0.422564	2	1	3	1030	0.0212923
0.422564	2	1	3	1030	0.0212863
0.422564	2	1	3	1030	0.0212803
0.422564	2	1	3	1030	0.0212743
0.422564	2	1	3	1030	0.0212683
0.422564	2	1	3	1030	0.0212623
0.422564	2	1	3	1030	0.0212563
0.422564	2	1	3	1030	0.0212503
0.422564	2	1	3	1030	0.0212443
0.422564	2	1	3	1030	0.0212383
0.422564	2	1	3	1030	0.0212323
0.422564	2	1	3	1030	0.0212263
0.422564	2	1	3	1030	0.0212203
0.422564	2	1	3	1030	0.0212143
0.422564	2	1	3	1030	0.0212083
0.422564	2	1	3	1030	0.0212023
0.422564	2	1	3	1030	0.0211963
0.425064	2	1	3	1030	0.0236903
0.425064	2	1	3	1030	0.0236843
0.425064	2	1	3	1030	0.0236783
0.425064	2	1	3	1030	0.0236723
0.425064	2	1	3	1030	0.0236663
0.425064	2	1	3	1030	0.0236603
0.425064	2	1	3	1030	0.0236543
0.425064	2	1	3	1030	0.0236483
0.425064	2	1	3	1030	0.0236423
0.425064	2	1	3	1030	0.0236363
0.425064	2	1	3	1030	0.0236303
0.425064	2	1	3	1030	0.0236243
0.425064	2	1	3	1030	0.0236183
0.425064	2	1	3	1030	0.0236123
0.425064	2	1	3	1030	0.0236063
0.425064	2	1	3	1030	0.0236003
0.425064	2	1	3	1030	0.0235943
0.425064	2	1	3	1030	0.0235883
0.425064	2	1	3	1030	0.0235823
0.425064	2	1	3	1030	0.0235763
0.425064	2	1	3	1030	0.0235703
0.425064	2	1	3	1030	0.0235643
0.425064	2	1	3	1030	0.0235583
0.425064	2	1	3	1030	0.0235523
0.425064	2	1	3	1030	0.0235463
0.425064	2	1	3	1030	0.0235403
0.425064	2	1	3	1030	0.0235343
0.425064	2	1	3	1030	0.0235283
0.425064	2	1	3	1030	0.0235223
0.425064	2	1	3	1030	0.0235163
0.425064	2	1	3	1030	0.0235103
0.425064	2	1	3	1030	0.0235043
0.425064	2	1	3	1030	0.0234983
0.425064	2	1	3	1030	0.0234923
0.425064	2	1	3	1030	0.0234863
0.425064	2	1	3	1030	0.0234803
0.425064	2	1	3	1030	0.0234743
0.425064	2	1	3	1030	0.0234683
0.425064	2	1	3	1030	0.0234623
0.427564	2	1	3	1030	0.0259563
0.427564	2	1	3	1030	0.0259503
0.427564	2	1	3	1030	0.0259443
0.427564	2	1	3	1030	0.0259383
0.427564	2	1	3	1030	0.0259323
0.427564	2	1	3	1030	0.0259263
0.427564	2	1	3	1030	0.0259203
