time(s)	cellId	rnti	lcid	packetSize
0.4	2	1	3	1030
0.400006	2	1	3	1030
0.400012	2	1	3	1030
0.400018	2	1	3	1030
0.400024	2	1	3	1030
0.40003	2	1	3	1030
0.400036	2	1	3	1030
0.400042	2	1	3	1030
0.400048	2	1	3	1030
0.400054	2	1	3	1030
0.40006	2	1	3	1030
0.400066	2	1	3	1030
0.400072	2	1	3	1030
0.400078	2	1	3	1030
0.400084	2	1	3	1030
0.40009	2	1	3	1030
0.400096	2	1	3	1030
0.400102	2	1	3	1030
0.400108	2	1	3	1030
0.400114	2	1	3	1030
0.40012	2	1	3	1030
0.400126	2	1	3	1030
0.400132	2	1	3	1030
0.400138	2	1	3	1030
0.400144	2	1	3	1030
0.40015	2	1	3	1030
0.400156	2	1	3	1030
0.400162	2	1	3	1030
0.400168	2	1	3	1030
0.400174	2	1	3	1030
0.40018	2	1	3	1030
0.400186	2	1	3	1030
0.400192	2	1	3	1030
0.400198	2	1	3	1030
0.400204	2	1	3	1030
0.40021	2	1	3	1030
0.400216	2	1	3	1030
0.400222	2	1	3	1030
0.400228	2	1	3	1030
0.400234	2	1	3	1030
0.40024	2	1	3	1030
0.400246	2	1	3	1030
0.400252	2	1	3	1030
0.400258	2	1	3	1030
0.400264	2	1	3	1030
0.40027	2	1	3	1030
0.400276	2	1	3	1030
0.400282	2	1	3	1030
0.400288	2	1	3	1030
0.400294	2	1	3	1030
0.4003	2	1	3	1030
0.400306	2	1	3	1030
0.400312	2	1	3	1030
0.400318	2	1	3	1030
0.400324	2	1	3	1030
0.40033	2	1	3	1030
0.400336	2	1	3	1030
0.400342	2	1	3	1030
0.400348	2	1	3	1030
0.400354	2	1	3	1030
0.40036	2	1	3	1030
0.400366	2	1	3	1030
0.400372	2	1	3	1030
0.400378	2	1	3	1030
0.400384	2	1	3	1030
0.40039	2	1	3	1030
0.400396	2	1	3	1030
0.400402	2	1	3	1030
0.400408	2	1	3	1030
0.400414	2	1	3	1030
0.40042	2	1	3	1030
0.400426	2	1	3	1030
0.400432	2	1	3	1030
0.400438	2	1	3	1030
0.400444	2	1	3	1030
0.40045	2	1	3	1030
0.400456	2	1	3	1030
0.400462	2	1	3	1030
0.400468	2	1	3	1030
0.400474	2	1	3	1030
0.40048	2	1	3	1030
0.400486	2	1	3	1030
0.400492	2	1	3	1030
0.400498	2	1	3	1030
0.400504	2	1	3	1030
0.40051	2	1	3	1030
0.400516	2	1	3	1030
0.400522	2	1	3	1030
0.400528	2	1	3	1030
0.400534	2	1	3	1030
0.40054	2	1	3	1030
0.400546	2	1	3	1030
0.400552	2	1	3	1030
0.400558	2	1	3	1030
0.400564	2	1	3	1030
0.40057	2	1	3	1030
0.400576	2	1	3	1030
0.400582	2	1	3	1030
0.400588	2	1	3	1030
0.400594	2	1	3	1030
0.4006	2	1	3	1030
0.400606	2	1	3	1030
0.400612	2	1	3	1030
0.400618	2	1	3	1030
0.400624	2	1	3	1030
0.40063	2	1	3	1030
0.400636	2	1	3	1030
0.400642	2	1	3	1030
0.400648	2	1	3	1030
0.400654	2	1	3	1030
0.40066	2	1	3	1030
0.400666	2	1	3	1030
0.400672	2	1	3	1030
0.400678	2	1	3	1030
0.400684	2	1	3	1030
0.40069	2	1	3	1030
0.400696	2	1	3	1030
0.400702	2	1	3	1030
0.400708	2	1	3	1030
0.400714	2	1	3	1030
0.40072	2	1	3	1030
0.400726	2	1	3	1030
0.400732	2	1	3	1030
0.400738	2	1	3	1030
0.400744	2	1	3	1030
0.40075	2	1	3	1030
0.400756	2	1	3	1030
0.400762	2	1	3	1030
0.400768	2	1	3	1030
0.400774	2	1	3	1030
0.40078	2	1	3	1030
0.400786	2	1	3	1030
0.400792	2	1	3	1030
0.400798	2	1	3	1030
0.400804	2	1	3	1030
0.40081	2	1	3	1030
0.400816	2	1	3	1030
0.400822	2	1	3	1030
0.400828	2	1	3	1030
0.400834	2	1	3	1030
0.40084	2	1	3	1030
0.400846	2	1	3	1030
0.400852	2	1	3	1030
0.400858	2	1	3	1030
0.400864	2	1	3	1030
0.40087	2	1	3	1030
0.400876	2	1	3	1030
0.400882	2	1	3	1030
0.400888	2	1	3	1030
0.400894	2	1	3	1030
0.4009	2	1	3	1030
0.400906	2	1	3	1030
0.400912	2	1	3	1030
0.400918	2	1	3	1030
0.400924	2	1	3	1030
0.40093	2	1	3	1030
0.400936	2	1	3	1030
0.400942	2	1	3	1030
0.400948	2	1	3	1030
0.400954	2	1	3	1030
0.40096	2	1	3	1030
0.400966	2	1	3	1030
0.400972	2	1	3	1030
0.400978	2	1	3	1030
0.400984	2	1	3	1030
0.40099	2	1	3	1030
0.400996	2	1	3	1030
0.401002	2	1	3	1030
0.401008	2	1	3	1030
0.401014	2	1	3	1030
0.40102	2	1	3	1030
0.401026	2	1	3	1030
0.401032	2	1	3	1030
0.401038	2	1	3	1030
0.401044	2	1	3	1030
0.40105	2	1	3	1030
0.401056	2	1	3	1030
0.401062	2	1	3	1030
0.401068	2	1	3	1030
0.401074	2	1	3	1030
0.40108	2	1	3	1030
0.401086	2	1	3	1030
0.401092	2	1	3	1030
0.401098	2	1	3	1030
0.401104	2	1	3	1030
0.40111	2	1	3	1030
0.401116	2	1	3	1030
0.401122	2	1	3	1030
0.401128	2	1	3	1030
0.401134	2	1	3	1030
0.40114	2	1	3	1030
0.401146	2	1	3	1030
0.401152	2	1	3	1030
0.401158	2	1	3	1030
0.401164	2	1	3	1030
0.40117	2	1	3	1030
0.401176	2	1	3	1030
0.401182	2	1	3	1030
0.401188	2	1	3	1030
0.401194	2	1	3	1030
0.4012	2	1	3	1030
0.401206	2	1	3	1030
0.401212	2	1	3	1030
0.401218	2	1	3	1030
0.401224	2	1	3	1030
0.40123	2	1	3	1030
0.401236	2	1	3	1030
0.401242	2	1	3	1030
0.401248	2	1	3	1030
0.401254	2	1	3	1030
0.40126	2	1	3	1030
0.401266	2	1	3	1030
0.401272	2	1	3	1030
0.401278	2	1	3	1030
0.401284	2	1	3	1030
0.40129	2	1	3	1030
0.401296	2	1	3	1030
0.401302	2	1	3	1030
0.401308	2	1	3	1030
0.401314	2	1	3	1030
0.40132	2	1	3	1030
0.401326	2	1	3	1030
0.401332	2	1	3	1030
0.401338	2	1	3	1030
0.401344	2	1	3	1030
0.40135	2	1	3	1030
